category,address,name,getName,getType,accessType,size,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal
symbol,0x40954C,None,.L0040954C,@branchlabel,None,None,None,0x4,0x954C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409568,None,.L00409568,@branchlabel,None,None,None,0x4,0x9568,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x409690,None,.L00409690,@branchlabel,None,None,None,0x4,0x9690,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409760,None,.L00409760,@branchlabel,None,None,None,0x4,0x9760,.text,True,False,True,False,4,None,False,False,False,False
symbol,0x409798,None,.L00409798,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4097A4,None,.L004097A4,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4097B0,None,.L004097B0,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4097BC,None,.L004097BC,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4097C8,None,.L004097C8,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4097D4,None,.L004097D4,@branchlabel,None,None,None,0x4,0x97D4,.text,True,False,True,False,5,None,False,False,False,False
symbol,0x40995C,None,.L0040995C,@branchlabel,None,None,None,0x4,0x995C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409994,None,.L00409994,@branchlabel,None,None,None,0x4,0x9994,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x4099C4,None,.L004099C4,@branchlabel,None,None,None,0x4,0x99C4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4099F4,None,.L004099F4,@branchlabel,None,None,None,0x4,0x99F4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409A2C,None,.L00409A2C,@branchlabel,None,None,None,0x4,0x9A2C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409A64,None,.L00409A64,@branchlabel,None,None,None,0x4,0x9A64,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409A9C,None,.L00409A9C,@branchlabel,None,None,None,0x4,0x9A9C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409B2C,None,.L00409B2C,@branchlabel,None,None,None,0x4,0x9B2C,.text,True,False,True,False,3,None,False,False,False,False
symbol,0x409BE4,None,.L00409BE4,@branchlabel,None,None,None,0x4,0x9BE4,.text,True,False,True,False,4,None,False,False,False,False
symbol,0x409C98,None,.L00409C98,@branchlabel,None,None,None,0x4,0x9C98,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x409CA4,None,.L00409CA4,@branchlabel,None,None,None,0x4,0x9CA4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409CD4,None,.L00409CD4,@branchlabel,None,None,None,0x4,0x9CD4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409CEC,None,.L00409CEC,@branchlabel,None,None,None,0x4,0x9CEC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409CF8,None,.L00409CF8,@branchlabel,None,None,None,0x4,0x9CF8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409D08,None,.L00409D08,@branchlabel,None,None,None,0x4,0x9D08,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409D94,None,.L00409D94,@branchlabel,None,None,None,0x4,0x9D94,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409DD0,None,.L00409DD0,@branchlabel,None,None,None,0x4,0x9DD0,.text,True,False,True,False,3,None,False,False,False,False
symbol,0x409E00,None,.L00409E00,@branchlabel,None,None,None,0x4,0x9E00,.text,True,False,True,False,3,None,False,False,False,False
symbol,0x409E7C,None,.L00409E7C,@branchlabel,None,None,None,0x4,0x9E7C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409ED4,None,.L00409ED4,@branchlabel,None,None,None,0x4,0x9ED4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409F10,None,.L00409F10,@branchlabel,None,None,None,0x4,0x9F10,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x409F60,None,.L00409F60,@branchlabel,None,None,None,0x4,0x9F60,.text,True,False,True,False,4,None,False,False,False,False
symbol,0x409FA8,None,.L00409FA8,@branchlabel,None,None,None,0x4,0x9FA8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409FC8,None,.L00409FC8,@branchlabel,None,None,None,0x4,0x9FC8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40A018,None,.L0040A018,@branchlabel,None,None,None,0x4,0xA018,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40A090,None,.L0040A090,@branchlabel,None,None,None,0x4,0xA090,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40A09C,None,.L0040A09C,@branchlabel,None,None,None,0x4,0xA09C,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x40A150,None,.L0040A150,@branchlabel,None,None,None,0x4,0xA150,.text,True,False,True,False,16,None,False,False,False,False
symbol,0x40A1D4,None,.L0040A1D4,@branchlabel,None,None,None,0x4,0xA1D4,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x40A20C,None,.L0040A20C,@branchlabel,None,None,None,0x4,0xA20C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40A22C,None,.L0040A22C,@branchlabel,None,None,None,0x4,0xA22C,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x40A27C,None,.L0040A27C,@branchlabel,None,None,None,0x4,0xA27C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40A298,None,.L0040A298,@branchlabel,None,None,None,0x4,0xA298,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40A2BC,None,.L0040A2BC,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40A314,None,.L0040A314,@jumptablelabel,None,None,None,0x4,0xA314,.text,True,False,True,False,3,None,False,False,False,False
symbol,0x40A36C,None,.L0040A36C,@jumptablelabel,None,None,None,0x4,0xA36C,.text,True,False,True,False,4,None,False,False,False,False
symbol,0x40A3C8,None,.L0040A3C8,@branchlabel,None,None,None,0x4,0xA3C8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40A408,None,.L0040A408,@branchlabel,None,None,None,0x4,0xA408,.text,True,False,True,False,3,None,False,False,False,False
symbol,0x40A414,None,.L0040A414,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40A470,None,.L0040A470,@branchlabel,None,None,None,0x4,0xA470,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40A4B4,None,.L0040A4B4,@jumptablelabel,None,None,None,0x4,0xA4B4,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x40A510,None,.L0040A510,@branchlabel,None,None,None,0x4,0xA510,.text,True,False,True,False,1,None,False,False,False,False
