category,address,name,getName,getNameEnd,userDeclaredType,autodetectedType,getType,accessType,userDeclaredSize,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,firstLoAccess,isAutogeneratedPad,isElfNotype
symbol,0x4043E0,None,.L004043E0,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x4043E8,None,.L004043E8,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,2,None,False,False,False,False,None,None,False,False
symbol,0x4043F4,None,.L004043F4,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x404400,None,.L00404400,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40440C,None,.L0040440C,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x404454,None,.L00404454,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x404468,None,.L00404468,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x404484,None,.L00404484,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,5,None,False,False,False,False,None,None,False,False
symbol,0x40448C,None,.L0040448C,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x4044A0,None,.L004044A0,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x4044AC,None,.L004044AC,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x4044D0,None,.L004044D0,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
